item,rater,label,text
m013,ben,Negative,Your store staff were rude and unhelpful.
m013,chloe,Negative,Your store staff were rude and unhelpful.
m013,dana,Negative,Your store staff were rude and unhelpful.
m014,ana,Negative,This is the third faulty unit you've sent me.
m014,ben,Negative,This is the third faulty unit you've sent me.
m014,dana,Negative,This is the third faulty unit you've sent me.
m014,eli,Negative,This is the third faulty unit you've sent me.
m015,ana,Sarcastic,The headphones stopped charging after a week.
m015,ben,Sarcastic,The headphones stopped charging after a week.
m015,chloe,Negative,The headphones stopped charging after a week.
m015,dana,Neutral,The headphones stopped charging after a week.
m015,eli,Negative,The headphones stopped charging after a week.
m016,ben,Negative,Such fast support. I only aged a year waiting.
m016,chloe,Negative,Such fast support. I only aged a year waiting.
m016,dana,Neutral,Such fast support. I only aged a year waiting.
m016,eli,Negative,Such fast support. I only aged a year waiting.
m017,ana,Negative,Nothing like a 2 a.m. maintenance window during my deadline.
m017,ben,Negative,Nothing like a 2 a.m. maintenance window during my deadline.
m017,chloe,Sarcastic,Nothing like a 2 a.m. maintenance window during my deadline.
m017,dana,Neutral,Nothing like a 2 a.m. maintenance window during my deadline.
m017,eli,Sarcastic,Nothing like a 2 a.m. maintenance window during my deadline.
m018,ana,Neutral,Please send me a copy of my last invoice.
m018,ben,Neutral,Please send me a copy of my last invoice.
m018,chloe,Neutral,Please send me a copy of my last invoice.
m018,eli,Neutral,Please send me a copy of my last invoice.
m019,ana,Sarcastic,"Wow, only three weeks for a reply. Truly lightning fast."
m019,ben,Negative,"Wow, only three weeks for a reply. Truly lightning fast."
m019,chloe,Sarcastic,"Wow, only three weeks for a reply. Truly lightning fast."
m019,dana,Sarcastic,"Wow, only three weeks for a reply. Truly lightning fast."
m019,eli,Negative,"Wow, only three weeks for a reply. Truly lightning fast."
m020,ana,Neutral,I'd like to switch to annual billing.
m020,ben,Neutral,I'd like to switch to annual billing.
m020,chloe,Neutral,I'd like to switch to annual billing.
m020,dana,Neutral,I'd like to switch to annual billing.
m020,eli,Sarcastic,I'd like to switch to annual billing.
m021,ana,Positive,The warranty claim was approved in a day. Thank you!
m021,ben,Positive,The warranty claim was approved in a day. Thank you!
m021,chloe,Positive,The warranty claim was approved in a day. Thank you!
m021,eli,Positive,The warranty claim was approved in a day. Thank you!
m022,ana,Positive,"The gift wrapping was beautiful, my mum loved it."
m022,ben,Positive,"The gift wrapping was beautiful, my mum loved it."
m022,chloe,Positive,"The gift wrapping was beautiful, my mum loved it."
m022,dana,Positive,"The gift wrapping was beautiful, my mum loved it."
m022,eli,Positive,"The gift wrapping was beautiful, my mum loved it."
m023,ben,Positive,Your help article on exporting data was perfectly clear.
m023,chloe,Positive,Your help article on exporting data was perfectly clear.
m023,dana,Positive,Your help article on exporting data was perfectly clear.
m023,eli,Positive,Your help article on exporting data was perfectly clear.
m024,ana,Sarcastic,"Oh great, another update that breaks everything. Love it."
m024,ben,Neutral,"Oh great, another update that breaks everything. Love it."
m024,chloe,Sarcastic,"Oh great, another update that breaks everything. Love it."
m024,dana,Neutral,"Oh great, another update that breaks everything. Love it."
m024,eli,Negative,"Oh great, another update that breaks everything. Love it."
m025,ana,Negative,The chair arrived with two missing screws and no instructions.
m025,ben,Negative,The chair arrived with two missing screws and no instructions.
m025,chloe,Negative,The chair arrived with two missing screws and no instructions.
m025,dana,Negative,The chair arrived with two missing screws and no instructions.
m025,eli,Negative,The chair arrived with two missing screws and no instructions.
m026,ana,Positive,The installer was on time and tidy. Five stars.
m026,ben,Positive,The installer was on time and tidy. Five stars.
m026,chloe,Positive,The installer was on time and tidy. Five stars.
m026,dana,Positive,The installer was on time and tidy. Five stars.
m026,eli,Positive,The installer was on time and tidy. Five stars.
m027,ana,Sarcastic,"Fantastic, the replacement is broken too. Consistency!"
m027,ben,Sarcastic,"Fantastic, the replacement is broken too. Consistency!"
m027,chloe,Sarcastic,"Fantastic, the replacement is broken too. Consistency!"
m027,dana,Negative,"Fantastic, the replacement is broken too. Consistency!"
m027,eli,Negative,"Fantastic, the replacement is broken too. Consistency!"
m028,ana,Negative,Five stars for the box. Shame about what was inside.
m028,ben,Negative,Five stars for the box. Shame about what was inside.
m028,chloe,Sarcastic,Five stars for the box. Shame about what was inside.
m028,dana,Neutral,Five stars for the box. Shame about what was inside.
m028,eli,Negative,Five stars for the box. Shame about what was inside.
m029,ana,Negative,The new pricing is a rip-off.
m029,ben,Sarcastic,The new pricing is a rip-off.
m029,chloe,Negative,The new pricing is a rip-off.
m029,dana,Negative,The new pricing is a rip-off.
m029,eli,Neutral,The new pricing is a rip-off.
m030,ana,Sarcastic,"Oh sure, cancelling was super easy. Only took six emails."
m030,ben,Sarcastic,"Oh sure, cancelling was super easy. Only took six emails."
m030,chloe,Sarcastic,"Oh sure, cancelling was super easy. Only took six emails."
m030,dana,Sarcastic,"Oh sure, cancelling was super easy. Only took six emails."
m030,eli,Sarcastic,"Oh sure, cancelling was super easy. Only took six emails."
m031,ana,Neutral,Can I pick up my order in store instead?
m031,ben,Neutral,Can I pick up my order in store instead?
m031,chloe,Neutral,Can I pick up my order in store instead?
m031,dana,Neutral,Can I pick up my order in store instead?
m031,eli,Neutral,Can I pick up my order in store instead?
m032,ana,Negative,The zip broke the first time I wore the jacket.
m032,ben,Negative,The zip broke the first time I wore the jacket.
m032,dana,Negative,The zip broke the first time I wore the jacket.
m032,eli,Sarcastic,The zip broke the first time I wore the jacket.
m033,ana,Sarcastic,Glad to see the outage page is up. Shame the service isn't.
m033,chloe,Sarcastic,Glad to see the outage page is up. Shame the service isn't.
m033,dana,Sarcastic,Glad to see the outage page is up. Shame the service isn't.
m033,eli,Sarcastic,Glad to see the outage page is up. Shame the service isn't.
m034,ana,Positive,Great to see the price stayed the same after the upgrade.
m034,ben,Positive,Great to see the price stayed the same after the upgrade.
m034,chloe,Positive,Great to see the price stayed the same after the upgrade.
m034,dana,Positive,Great to see the price stayed the same after the upgrade.
m034,eli,Positive,Great to see the price stayed the same after the upgrade.
m035,ana,Positive,"Very smooth checkout, well done."
m035,ben,Positive,"Very smooth checkout, well done."
m035,chloe,Positive,"Very smooth checkout, well done."
m035,dana,Neutral,"Very smooth checkout, well done."
m035,eli,Positive,"Very smooth checkout, well done."
m036,ana,Positive,Everything works now. Thanks for your patience with me.
m036,ben,Positive,Everything works now. Thanks for your patience with me.
m036,eli,Positive,Everything works now. Thanks for your patience with me.
m037,ben,Neutral,How do I turn off email notifications?
m037,chloe,Neutral,How do I turn off email notifications?
m037,dana,Neutral,How do I turn off email notifications?
m037,eli,Neutral,How do I turn off email notifications?
m038,ana,Positive,The replacement part fit perfectly. Much appreciated.
m038,ben,Positive,The replacement part fit perfectly. Much appreciated.
m038,chloe,Positive,The replacement part fit perfectly. Much appreciated.
m038,dana,Neutral,The replacement part fit perfectly. Much appreciated.
m038,eli,Positive,The replacement part fit perfectly. Much appreciated.
m039,ana,Neutral,Do you offer installation with the washing machine?
m039,ben,Neutral,Do you offer installation with the washing machine?
m039,chloe,Neutral,Do you offer installation with the washing machine?
m039,dana,Neutral,Do you offer installation with the washing machine?
m039,eli,Neutral,Do you offer installation with the washing machine?
m040,ana,Positive,The app's new search finds everything instantly. Love it.
m040,ben,Positive,The app's new search finds everything instantly. Love it.
m040,chloe,Positive,The app's new search finds everything instantly. Love it.
m040,dana,Positive,The app's new search finds everything instantly. Love it.
m040,eli,Positive,The app's new search finds everything instantly. Love it.
m041,ben,Positive,Thank you for honouring the old price.
m041,chloe,Positive,Thank you for honouring the old price.
m041,dana,Neutral,Thank you for honouring the old price.
m041,eli,Positive,Thank you for honouring the old price.
m042,ben,Negative,The app charged me in dollars instead of pounds.
m042,chloe,Negative,The app charged me in dollars instead of pounds.
m042,dana,Neutral,The app charged me in dollars instead of pounds.
m042,eli,Negative,The app charged me in dollars instead of pounds.
m043,ana,Sarcastic,"Oh wonderful, another password rule. My favourite."
m043,ben,Neutral,"Oh wonderful, another password rule. My favourite."
m043,chloe,Sarcastic,"Oh wonderful, another password rule. My favourite."
m043,dana,Neutral,"Oh wonderful, another password rule. My favourite."
m043,eli,Sarcastic,"Oh wonderful, another password rule. My favourite."
m044,ana,Neutral,"Quick, polite and effective. Couldn't ask for more."
m044,ben,Positive,"Quick, polite and effective. Couldn't ask for more."
m044,dana,Positive,"Quick, polite and effective. Couldn't ask for more."
m045,ana,Negative,The subscription renewed without any warning.
m045,ben,Sarcastic,The subscription renewed without any warning.
m045,chloe,Sarcastic,The subscription renewed without any warning.
m045,dana,Negative,The subscription renewed without any warning.
m045,eli,Negative,The subscription renewed without any warning.
m046,ana,Positive,The engineer explained everything clearly. Really helpful.
m046,ben,Positive,The engineer explained everything clearly. Really helpful.
m046,chloe,Positive,The engineer explained everything clearly. Really helpful.
m046,dana,Positive,The engineer explained everything clearly. Really helpful.
m047,ana,Neutral,Please remove my card details from the account.
m047,chloe,Neutral,Please remove my card details from the account.
m047,dana,Neutral,Please remove my card details from the account.
m047,eli,Sarcastic,Please remove my card details from the account.
m048,ana,Neutral,How many devices can I use with one licence?
m048,ben,Neutral,How many devices can I use with one licence?
m048,chloe,Neutral,How many devices can I use with one licence?
m048,eli,Neutral,How many devices can I use with one licence?
m049,ana,Sarcastic,"Thanks for the ""quick"" fix. It only took three visits."
m049,ben,Sarcastic,"Thanks for the ""quick"" fix. It only took three visits."
m049,chloe,Sarcastic,"Thanks for the ""quick"" fix. It only took three visits."
m049,dana,Sarcastic,"Thanks for the ""quick"" fix. It only took three visits."
m049,eli,Sarcastic,"Thanks for the ""quick"" fix. It only took three visits."
m050,ana,Sarcastic,Amazing how the price goes up every time I look away.
m050,ben,Sarcastic,Amazing how the price goes up every time I look away.
m050,chloe,Sarcastic,Amazing how the price goes up every time I look away.
m050,dana,Neutral,Amazing how the price goes up every time I look away.
m050,eli,Negative,Amazing how the price goes up every time I look away.
m051,ana,Negative,The battery drains in under three hours.
m051,ben,Negative,The battery drains in under three hours.
m051,chloe,Negative,The battery drains in under three hours.
m051,dana,Negative,The battery drains in under three hours.
m051,eli,Negative,The battery drains in under three hours.
m052,ana,Sarcastic,Brilliant idea to hide the cancel button. Very user friendly.
m052,chloe,Sarcastic,Brilliant idea to hide the cancel button. Very user friendly.
m052,dana,Sarcastic,Brilliant idea to hide the cancel button. Very user friendly.
m052,eli,Sarcastic,Brilliant idea to hide the cancel button. Very user friendly.
m053,ana,Positive,"Thanks so much, the refund came through this morning."
m053,ben,Positive,"Thanks so much, the refund came through this morning."
m053,chloe,Positive,"Thanks so much, the refund came through this morning."
m053,dana,Neutral,"Thanks so much, the refund came through this morning."
m053,eli,Positive,"Thanks so much, the refund came through this morning."
m054,ana,Neutral,Is the app available on tablets?
m054,ben,Neutral,Is the app available on tablets?
m054,chloe,Neutral,Is the app available on tablets?
m054,eli,Neutral,Is the app available on tablets?
m055,ana,Neutral,What time does support open on Saturdays?
m055,ben,Neutral,What time does support open on Saturdays?
m055,dana,Neutral,What time does support open on Saturdays?
m055,eli,Neutral,What time does support open on Saturdays?
m056,ana,Neutral,Where can I find the user manual?
m056,ben,Sarcastic,Where can I find the user manual?
m056,chloe,Neutral,Where can I find the user manual?
m056,eli,Neutral,Where can I find the user manual?
m057,ana,Neutral,Can two people share one account?
m057,ben,Positive,Can two people share one account?
m057,chloe,Neutral,Can two people share one account?
m057,dana,Neutral,Can two people share one account?
m057,eli,Neutral,Can two people share one account?
m058,ana,Positive,Setup took two minutes. Really impressed.
m058,ben,Positive,Setup took two minutes. Really impressed.
m058,chloe,Positive,Setup took two minutes. Really impressed.
m058,dana,Positive,Setup took two minutes. Really impressed.
m058,eli,Positive,Setup took two minutes. Really impressed.
m059,ana,Negative,The paint started peeling within a month.
m059,ben,Sarcastic,The paint started peeling within a month.
m059,chloe,Negative,The paint started peeling within a month.
m059,dana,Negative,The paint started peeling within a month.
m059,eli,Sarcastic,The paint started peeling within a month.
m060,ana,Sarcastic,"Top marks for the packaging. The glass inside, not so much."
m060,ben,Negative,"Top marks for the packaging. The glass inside, not so much."
m060,dana,Sarcastic,"Top marks for the packaging. The glass inside, not so much."
m060,eli,Sarcastic,"Top marks for the packaging. The glass inside, not so much."
m061,ben,Positive,Delighted with the quality of the jacket.
m061,chloe,Positive,Delighted with the quality of the jacket.
m061,dana,Positive,Delighted with the quality of the jacket.
m061,eli,Positive,Delighted with the quality of the jacket.
m062,ana,Positive,Really appreciate the personal note in the box.
m062,ben,Positive,Really appreciate the personal note in the box.
m062,chloe,Positive,Really appreciate the personal note in the box.
m062,dana,Sarcastic,Really appreciate the personal note in the box.
m062,eli,Positive,Really appreciate the personal note in the box.
m063,ana,Neutral,What are your returns hours at the London store?
m063,ben,Neutral,What are your returns hours at the London store?
m063,chloe,Neutral,What are your returns hours at the London store?
m063,dana,Neutral,What are your returns hours at the London store?
m063,eli,Neutral,What are your returns hours at the London store?
m064,ben,Neutral,I'd like to know the status of ticket 5520.
m064,chloe,Neutral,I'd like to know the status of ticket 5520.
m064,dana,Neutral,I'd like to know the status of ticket 5520.
m064,eli,Neutral,I'd like to know the status of ticket 5520.
m065,ana,Neutral,How do I export my data to CSV?
m065,ben,Neutral,How do I export my data to CSV?
m065,chloe,Neutral,How do I export my data to CSV?
m065,dana,Neutral,How do I export my data to CSV?
m065,eli,Neutral,How do I export my data to CSV?
m066,ana,Positive,"Thank you, Sam, for staying on the line until it worked."
m066,chloe,Sarcastic,"Thank you, Sam, for staying on the line until it worked."
m066,eli,Positive,"Thank you, Sam, for staying on the line until it worked."
m067,ana,Positive,You went above and beyond sorting out my account. Thank you.
m067,ben,Positive,You went above and beyond sorting out my account. Thank you.
m067,chloe,Positive,You went above and beyond sorting out my account. Thank you.
m067,dana,Positive,You went above and beyond sorting out my account. Thank you.
m067,eli,Positive,You went above and beyond sorting out my account. Thank you.
m068,ana,Negative,I've been overcharged for three months in a row.
m068,ben,Negative,I've been overcharged for three months in a row.
m068,chloe,Negative,I've been overcharged for three months in a row.
m068,dana,Neutral,I've been overcharged for three months in a row.
m069,ana,Negative,Half my order was missing from the box.
m069,ben,Sarcastic,Half my order was missing from the box.
m069,chloe,Negative,Half my order was missing from the box.
m069,dana,Neutral,Half my order was missing from the box.
m069,eli,Sarcastic,Half my order was missing from the box.
m070,ana,Sarcastic,Such a treat to explain my problem to a fifth agent.
m070,ben,Sarcastic,Such a treat to explain my problem to a fifth agent.
m070,chloe,Sarcastic,Such a treat to explain my problem to a fifth agent.
m070,dana,Sarcastic,Such a treat to explain my problem to a fifth agent.
m070,eli,Sarcastic,Such a treat to explain my problem to a fifth agent.
m071,ana,Negative,Customer service promised a callback that never came.
m071,ben,Negative,Customer service promised a callback that never came.
m071,chloe,Negative,Customer service promised a callback that never came.
m071,dana,Negative,Customer service promised a callback that never came.
m071,eli,Sarcastic,Customer service promised a callback that never came.
m072,ana,Negative,"What a surprise, the courier ""tried to deliver"" while I was home."
m072,ben,Negative,"What a surprise, the courier ""tried to deliver"" while I was home."
m072,chloe,Sarcastic,"What a surprise, the courier ""tried to deliver"" while I was home."
m072,dana,Negative,"What a surprise, the courier ""tried to deliver"" while I was home."
m073,ana,Positive,My issue was escalated and fixed within the hour. Brilliant.
m073,ben,Positive,My issue was escalated and fixed within the hour. Brilliant.
m073,chloe,Positive,My issue was escalated and fixed within the hour. Brilliant.
m073,eli,Positive,My issue was escalated and fixed within the hour. Brilliant.
m074,ana,Neutral,Can I schedule a delivery for next Tuesday?
m074,ben,Neutral,Can I schedule a delivery for next Tuesday?
m074,chloe,Neutral,Can I schedule a delivery for next Tuesday?
m074,dana,Positive,Can I schedule a delivery for next Tuesday?
m074,eli,Neutral,Can I schedule a delivery for next Tuesday?
m075,ana,Positive,Thanks for the quick reply over the weekend!
m075,ben,Positive,Thanks for the quick reply over the weekend!
m075,chloe,Positive,Thanks for the quick reply over the weekend!
m075,dana,Positive,Thanks for the quick reply over the weekend!
m075,eli,Positive,Thanks for the quick reply over the weekend!
m076,ana,Negative,Your courier left my parcel in the rain.
m076,ben,Negative,Your courier left my parcel in the rain.
m076,chloe,Negative,Your courier left my parcel in the rain.
m076,dana,Sarcastic,Your courier left my parcel in the rain.
m076,eli,Negative,Your courier left my parcel in the rain.
m077,ana,Negative,The food was cold and the order was wrong.
m077,ben,Negative,The food was cold and the order was wrong.
m077,chloe,Negative,The food was cold and the order was wrong.
m077,dana,Neutral,The food was cold and the order was wrong.
m077,eli,Negative,The food was cold and the order was wrong.
m078,ana,Sarcastic,"Yes, please send me a fourth email about the same sale."
m078,ben,Negative,"Yes, please send me a fourth email about the same sale."
m078,chloe,Sarcastic,"Yes, please send me a fourth email about the same sale."
m078,dana,Negative,"Yes, please send me a fourth email about the same sale."
m078,eli,Sarcastic,"Yes, please send me a fourth email about the same sale."
m079,ana,Negative,The mattress smells of chemicals and won't air out.
m079,ben,Negative,The mattress smells of chemicals and won't air out.
m079,chloe,Negative,The mattress smells of chemicals and won't air out.
m079,dana,Negative,The mattress smells of chemicals and won't air out.
m079,eli,Negative,The mattress smells of chemicals and won't air out.
m080,ana,Neutral,"I'll be away next week, so please hold the delivery."
m080,ben,Neutral,"I'll be away next week, so please hold the delivery."
m080,chloe,Neutral,"I'll be away next week, so please hold the delivery."
m080,dana,Neutral,"I'll be away next week, so please hold the delivery."
m080,eli,Neutral,"I'll be away next week, so please hold the delivery."
m081,ana,Negative,You changed the layout and now I can't find anything.
m081,ben,Negative,You changed the layout and now I can't find anything.
m081,chloe,Sarcastic,You changed the layout and now I can't find anything.
m081,eli,Sarcastic,You changed the layout and now I can't find anything.
m082,ana,Negative,The screen has a dead pixel right in the centre.
m082,ben,Negative,The screen has a dead pixel right in the centre.
m082,chloe,Negative,The screen has a dead pixel right in the centre.
m082,dana,Neutral,The screen has a dead pixel right in the centre.
m082,eli,Negative,The screen has a dead pixel right in the centre.
m083,ana,Negative,The instructions are wrong and the part doesn't fit.
m083,dana,Negative,The instructions are wrong and the part doesn't fit.
m083,eli,Sarcastic,The instructions are wrong and the part doesn't fit.
m084,ana,Negative,I've explained my problem to four different agents now.
m084,ben,Negative,I've explained my problem to four different agents now.
m084,chloe,Negative,I've explained my problem to four different agents now.
m084,dana,Negative,I've explained my problem to four different agents now.
m084,eli,Negative,I've explained my problem to four different agents now.
m085,ana,Negative,Of course the sale ended the minute I checked out.
m085,ben,Negative,Of course the sale ended the minute I checked out.
m085,dana,Negative,Of course the sale ended the minute I checked out.
m085,eli,Negative,Of course the sale ended the minute I checked out.
m086,ana,Positive,Loving the new loyalty rewards.
m086,ben,Positive,Loving the new loyalty rewards.
m086,chloe,Negative,Loving the new loyalty rewards.
m086,dana,Positive,Loving the new loyalty rewards.
m086,eli,Positive,Loving the new loyalty rewards.
m087,ana,Sarcastic,So glad I paid extra for next-day delivery that came next week.
m087,ben,Sarcastic,So glad I paid extra for next-day delivery that came next week.
m087,chloe,Negative,So glad I paid extra for next-day delivery that came next week.
m087,dana,Negative,So glad I paid extra for next-day delivery that came next week.
m087,eli,Negative,So glad I paid extra for next-day delivery that came next week.
m088,ana,Sarcastic,The printer jams on every other page.
m088,ben,Negative,The printer jams on every other page.
m088,chloe,Negative,The printer jams on every other page.
m088,dana,Sarcastic,The printer jams on every other page.
m088,eli,Sarcastic,The printer jams on every other page.
m089,ana,Negative,Cancelling my account shouldn't take six emails.
m089,ben,Negative,Cancelling my account shouldn't take six emails.
m089,chloe,Negative,Cancelling my account shouldn't take six emails.
m089,dana,Neutral,Cancelling my account shouldn't take six emails.
m089,eli,Negative,Cancelling my account shouldn't take six emails.
m090,ana,Neutral,Is there an API for the reporting feature?
m090,ben,Neutral,Is there an API for the reporting feature?
m090,chloe,Neutral,Is there an API for the reporting feature?
m090,dana,Neutral,Is there an API for the reporting feature?
m090,eli,Neutral,Is there an API for the reporting feature?
m091,ana,Sarcastic,"Love that the ""waterproof"" jacket soaked me through."
m091,ben,Sarcastic,"Love that the ""waterproof"" jacket soaked me through."
m091,chloe,Sarcastic,"Love that the ""waterproof"" jacket soaked me through."
m091,dana,Sarcastic,"Love that the ""waterproof"" jacket soaked me through."
m091,eli,Sarcastic,"Love that the ""waterproof"" jacket soaked me through."
m092,ana,Positive,Thanks for refunding the duplicate charge without any fuss.
m092,ben,Positive,Thanks for refunding the duplicate charge without any fuss.
m092,chloe,Positive,Thanks for refunding the duplicate charge without any fuss.
m092,dana,Neutral,Thanks for refunding the duplicate charge without any fuss.
m092,eli,Positive,Thanks for refunding the duplicate charge without any fuss.
m093,ana,Neutral,Is the sale price applied automatically at checkout?
m093,ben,Neutral,Is the sale price applied automatically at checkout?
m093,chloe,Neutral,Is the sale price applied automatically at checkout?
m093,dana,Neutral,Is the sale price applied automatically at checkout?
m093,eli,Neutral,Is the sale price applied automatically at checkout?
m094,ana,Neutral,The noise from the fridge keeps me up at night.
m094,ben,Negative,The noise from the fridge keeps me up at night.
m094,chloe,Negative,The noise from the fridge keeps me up at night.
m094,eli,Negative,The noise from the fridge keeps me up at night.
m095,ana,Sarcastic,"Great to know my complaint is ""important to you"". Very convincing."
m095,ben,Negative,"Great to know my complaint is ""important to you"". Very convincing."
m095,chloe,Sarcastic,"Great to know my complaint is ""important to you"". Very convincing."
m095,dana,Neutral,"Great to know my complaint is ""important to you"". Very convincing."
m095,eli,Sarcastic,"Great to know my complaint is ""important to you"". Very convincing."
m096,ben,Positive,So glad you brought back the classic layout.
m096,chloe,Positive,So glad you brought back the classic layout.
m096,dana,Positive,So glad you brought back the classic layout.
m096,eli,Positive,So glad you brought back the classic layout.
m097,ana,Negative,Loving the surprise fees at checkout. Keeps life exciting.
m097,ben,Negative,Loving the surprise fees at checkout. Keeps life exciting.
m097,chloe,Sarcastic,Loving the surprise fees at checkout. Keeps life exciting.
m097,dana,Negative,Loving the surprise fees at checkout. Keeps life exciting.
m097,eli,Sarcastic,Loving the surprise fees at checkout. Keeps life exciting.
m098,ana,Sarcastic,"Terrible experience, I won't be ordering again."
m098,ben,Negative,"Terrible experience, I won't be ordering again."
m098,chloe,Negative,"Terrible experience, I won't be ordering again."
m098,dana,Neutral,"Terrible experience, I won't be ordering again."
m098,eli,Negative,"Terrible experience, I won't be ordering again."
m099,ana,Positive,The new update fixed the sync issue. Great work!
m099,ben,Positive,The new update fixed the sync issue. Great work!
m099,chloe,Positive,The new update fixed the sync issue. Great work!
m099,dana,Neutral,The new update fixed the sync issue. Great work!
m099,eli,Positive,The new update fixed the sync issue. Great work!
m100,ben,Negative,"Excellent, the fix made it worse. Well done, team."
m100,chloe,Sarcastic,"Excellent, the fix made it worse. Well done, team."
m100,dana,Sarcastic,"Excellent, the fix made it worse. Well done, team."
m100,eli,Sarcastic,"Excellent, the fix made it worse. Well done, team."
m101,ana,Neutral,Can I add a second address for deliveries?
m101,ben,Neutral,Can I add a second address for deliveries?
m101,chloe,Neutral,Can I add a second address for deliveries?
m101,dana,Neutral,Can I add a second address for deliveries?
m101,eli,Neutral,Can I add a second address for deliveries?
m102,ana,Positive,"Love the redesigned app, it's so much faster now."
m102,ben,Positive,"Love the redesigned app, it's so much faster now."
m102,chloe,Positive,"Love the redesigned app, it's so much faster now."
m102,dana,Positive,"Love the redesigned app, it's so much faster now."
m102,eli,Positive,"Love the redesigned app, it's so much faster now."
m103,ana,Sarcastic,"I'm thrilled my ""new"" phone came with someone else's photos."
m103,ben,Negative,"I'm thrilled my ""new"" phone came with someone else's photos."
m103,chloe,Sarcastic,"I'm thrilled my ""new"" phone came with someone else's photos."
m103,dana,Negative,"I'm thrilled my ""new"" phone came with someone else's photos."
m103,eli,Negative,"I'm thrilled my ""new"" phone came with someone else's photos."
m104,ana,Negative,Nothing says quality like a handle that falls off on day one.
m104,ben,Sarcastic,Nothing says quality like a handle that falls off on day one.
m104,chloe,Sarcastic,Nothing says quality like a handle that falls off on day one.
m104,dana,Neutral,Nothing says quality like a handle that falls off on day one.
m104,eli,Negative,Nothing says quality like a handle that falls off on day one.
m105,ana,Neutral,Do gift cards expire?
m105,ben,Neutral,Do gift cards expire?
m105,chloe,Neutral,Do gift cards expire?
m105,dana,Neutral,Do gift cards expire?
m105,eli,Neutral,Do gift cards expire?
m106,ben,Negative,The package was clearly opened before it reached me.
m106,chloe,Negative,The package was clearly opened before it reached me.
m106,dana,Negative,The package was clearly opened before it reached me.
m106,eli,Negative,The package was clearly opened before it reached me.
m107,ana,Negative,I cancelled last month and you still took payment.
m107,ben,Sarcastic,I cancelled last month and you still took payment.
m107,chloe,Negative,I cancelled last month and you still took payment.
m107,dana,Negative,I cancelled last month and you still took payment.
